inn,aliases
kisspeptin,
corticorelin,
tetracosactide,
lonapegsomatropin,
somapacitan,
somatrogon,
AOD-9604,
hGH 176-191,
CJC-1293,
CJC-1295,
sermorelin,
tesamorelin,
anamorelin,
capromorelin,
ibutamoren,
ipamorelin,
lenomorelin,
macimorelin,
tabimorelin,
alexamorelin,
examorelin,
GHRP-1,
GHRP-2,
GHRP-3,
GHRP-4,
GHRP-5,
GHRP-6,
fibroblast growth factors,
hepatocyte growth factor,
insulin-like growth factor 1,
mecasermin,
mechano growth factors,
platelet-derived growth factor,
thymosin-β4,
TB-500,
vascular endothelial growth factor,
arformoterol,
levosalbutamol,
fenoterol,
formoterol,
higenamine,
indacaterol,
olodaterol,
procaterol,
reproterol,
salbutamol,
salmeterol,
terbutaline,
tulobuterol,
vilanterol,
tretoquinol,
2-Androstenol,
2-Androstenone,
3-Androstenol,
3-Androstenone,
"4-Androstene-3,6,17-trione",
Aminoglutethimide,
Anastrozole,
"Androsta-1,4,6-triene-3,17-dione",
"Androsta-3,5-diene-7,17-dione",
Exemestane,
Formestane,
Letrozole,
Testolactone,
Bazedoxifene,
Clomifene,
Cyclofenil,
Elacestrant,
Fulvestrant,
Ospemifene,
Raloxifene,
Tamoxifen,
Toremifene,
ACE-031,
bimagrumab,
follistatin,
myostatin propeptide,
apitegromab,
domagrozumab,
landogrozumab,
stamulumab,
AICAR,
MOTS-cannabidiol,
GW1516,
SR9009,
SR9011,
S519,
S597,
meldonium,
trimetazidine,
acetazolamide,
amiloride,
bumetanide,
canrenone,
chlortalidone,
etacrynic acid,
furosemide,
indapamide,
metolazone,
spironolactone,
torasemide,
triamterene,
xipamide,
bendroflumethiazide,
chlorothiazide,
hydrochlorothiazide,
conivaptan,
mozavaptan,
tolvaptan,
albumin,
dextran,
hydroxyethyl starch,
mannitol,
desmopressin,
probenecid,
Adrafinil,
Amfepramone,
Amfetamine,
Amfetaminil,
Amiphenazole,
Benfluorex,
Benzylpiperazine,
Bromantan,
Clobenzorex,
Cocaine,
Cropropamide,
Crotetamide,
Fencamine,
Fenetylline,
Fenfluramine,
Fenproporex,
Fonturacetam,
Furfenorex,
Hydrafinil,
Lisdexamfetamine,
Mefenorex,
Mephentermine,
Mesocarb,
Metamfetamine,
p-methylamfetamine,
Modafinil,
Norfenfluramine,
Phendimetrazine,
Phentermine,
Prenylamine,
Prolintane,
Cathinone,
2-phenylpropan-1-amine,
3-Methylhexan-2-amine,
4-Fluoromethylphenidate,
4-Methylhexan-2-amine,
4-Methylpentan-2-amine,
5-Methylhexan-2-amine,
Benzfetamine,
Cathine,
Dimetamfetamine,
Ephedrine,
Epinephrine,
Etamivan,
Ethylphenidate,
Etilamfetamine,
Etilefrine,
Famprofazone,
Fenbutrazate,
Fencamfamin,
Heptaminol,
Hydroxyamfetamine,
Isometheptene,
Levmetamfetamine,
Meclofenoxate,
Methylenedioxymethamphetamine,
Methylephedrine,
Methylnaphthidate,
Methylphenidate,
Midodrine,
Nikethamide,
Norfenefrine,
Octodrine,
Octopamine,
Oxilofrine,
Pemoline,
Pentetrazol,
phenethylamine,
Phenmetrazine,
Phenpromethamine,
Propylhexedrine,
Pseudoephedrine,
Selegiline,
Sibutramine,
Solriamfetol,
Strychnine,
Tenamfetamine,
Tesofensine,
Tuaminoheptane,
Clonidine,
Guanfacine,
Brimonidine,
Clonazoline,
Fenoxazoline,
Indanazoline,
Naphazoline,
Oxymetazoline,
Tetryzoline,
Tramazoline,
Xylometazoline,
fentanyl,
buprenorphine,
dextromoramide,
diamorphine,
hydromorphone,
methadone,
morphine,
nicomorphine,
oxycodone,
oxymorphone,
pentazocine,
pethidine,
tramadol,
hashish,
cannabidiol,
beclometasone,
betamethasone,
budesonide,
ciclesonide,
cortisone,
deflazacort,
dexamethasone,
flunisolide,
fluticasone,
hydrocortisone,
methylprednisolone,
mometasone,
prednisolone,
prednisone,
triamcinolone acetonide,
acebutolol,
alprenolol,
atenolol,
betaxolol,
bisoprolol,
bunolol,
carteolol,
carvedilol,
celiprolol,
esmolol,
labetalol,
metipranolol,
metoprolol,
nadolol,
nebivolol,
oxprenolol,
pindolol,
propranolol,
sotalol,
timolol,
drospirenone,
pamabrom,
dorzolamide,
brinzolamide,
felypressin,
clonidine,
guanfacine,
brimonidine,
clonazoline,
fenoxazoline,
indanazoline,
naphazoline,
oxymetazoline,
tetryzoline,
tramazoline,
xylometazoline,
bupropion,
caffeine,
nicotine,
phenylephrine,
phenylpropanolamine,
pipradrol,
synephrine,
epinephrine,
